# started on Wed Nov  1 09:17:00 2023

<not counted>,,offcore_response.demand_code_rd.l3_hit.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_e.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_e.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_e.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_e.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_e.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_e.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_e.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_m.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_m.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_m.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_m.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_m.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_m.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_m.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_s.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_s.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_s.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_s.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_s.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_s.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l3_hit_s.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l4_hit_local_l4.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l4_hit_local_l4.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l4_hit_local_l4.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l4_hit_local_l4.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l4_hit_local_l4.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l4_hit_local_l4.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.l4_hit_local_l4.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.supplier_none.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.supplier_none.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.supplier_none.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.supplier_none.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.supplier_none.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.supplier_none.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_code_rd.supplier_none.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.any_response,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_e.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_e.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_e.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_e.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_e.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_e.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_e.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_m.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_m.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_m.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_m.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_m.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_m.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_m.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_s.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_s.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_s.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_s.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_s.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_s.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l3_hit_s.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l4_hit_local_l4.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l4_hit_local_l4.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l4_hit_local_l4.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l4_hit_local_l4.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l4_hit_local_l4.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l4_hit_local_l4.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.l4_hit_local_l4.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.supplier_none.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.supplier_none.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.supplier_none.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.supplier_none.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.supplier_none.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.supplier_none.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_data_rd.supplier_none.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_rfo.any_response,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_e.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_e.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_e.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_e.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_e.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_e.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_e.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_m.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_m.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_m.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_m.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_m.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_m.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_m.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_s.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_s.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_s.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_s.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_s.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_s.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l3_hit_s.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l4_hit_local_l4.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l4_hit_local_l4.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l4_hit_local_l4.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l4_hit_local_l4.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l4_hit_local_l4.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l4_hit_local_l4.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_rfo.l4_hit_local_l4.spl_hit,0,0.00,,
<not counted>,,offcore_response.demand_rfo.supplier_none.any_snoop,0,0.00,,
<not counted>,,offcore_response.demand_rfo.supplier_none.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.demand_rfo.supplier_none.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.demand_rfo.supplier_none.snoop_miss,0,0.00,,
<not counted>,,offcore_response.demand_rfo.supplier_none.snoop_none,0,0.00,,
<not counted>,,offcore_response.demand_rfo.supplier_none.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.demand_rfo.supplier_none.spl_hit,0,0.00,,
<not counted>,,offcore_response.other.any_response,0,0.00,,
<not counted>,,offcore_response.other.l3_hit.any_snoop,0,0.00,,
<not counted>,,offcore_response.other.l3_hit.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.other.l3_hit.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.other.l3_hit.snoop_miss,0,0.00,,
<not counted>,,offcore_response.other.l3_hit.snoop_none,0,0.00,,
<not counted>,,offcore_response.other.l3_hit.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.other.l3_hit.spl_hit,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_e.any_snoop,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_e.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_e.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_e.snoop_miss,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_e.snoop_none,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_e.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_e.spl_hit,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_m.any_snoop,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_m.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_m.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_m.snoop_miss,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_m.snoop_none,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_m.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_m.spl_hit,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_s.any_snoop,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_s.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_s.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_s.snoop_miss,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_s.snoop_none,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_s.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.other.l3_hit_s.spl_hit,0,0.00,,
<not counted>,,offcore_response.other.l4_hit_local_l4.any_snoop,0,0.00,,
<not counted>,,offcore_response.other.l4_hit_local_l4.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.other.l4_hit_local_l4.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.other.l4_hit_local_l4.snoop_miss,0,0.00,,
<not counted>,,offcore_response.other.l4_hit_local_l4.snoop_none,0,0.00,,
<not counted>,,offcore_response.other.l4_hit_local_l4.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.other.l4_hit_local_l4.spl_hit,0,0.00,,
<not counted>,,offcore_response.other.supplier_none.any_snoop,0,0.00,,
<not counted>,,offcore_response.other.supplier_none.snoop_hitm,0,0.00,,
<not counted>,,offcore_response.other.supplier_none.snoop_hit_no_fwd,0,0.00,,
<not counted>,,offcore_response.other.supplier_none.snoop_miss,0,0.00,,
<not counted>,,offcore_response.other.supplier_none.snoop_none,0,0.00,,
<not counted>,,offcore_response.other.supplier_none.snoop_not_needed,0,0.00,,
<not counted>,,offcore_response.other.supplier_none.spl_hit,0,0.00,,
<not counted>,,sq_misc.split_lock,0,0.00,,
<not counted>,,sw_prefetch_access.nta,0,0.00,,
<not counted>,,sw_prefetch_access.prefetchw,0,0.00,,
<not counted>,,sw_prefetch_access.t0,0,0.00,,
<not counted>,,sw_prefetch_access.t1_t2,0,0.00,,
